"title","datewatched"
"Ex Machina","7/11/2020"
"Knives Out", "8/1/2020"
"Scott Pilgrim vs the World", "9/12/2020"
"Clue", "10/10/2020"
"Terminator", "11/07/2020"
"Margin Call", "12/05/2020"
"War Games", "1/16/21"
